회차,추첨일,1번,2번,3번,4번,5번,6번,보너스,합계,조합개수,조합위치,%,1-9,10-19,20-29,30-39,40-45
1,02-12-07,10,23,29,33,37,40,16,172,"58,453","30,607",52.36%,0,1,2,2,1
2,02-12-14,9,13,21,25,32,42,2,142,"104,836","80,685",76.96%,1,1,2,1,1
3,02-12-21,11,16,19,21,27,31,30,125,"97,063","93,924",96.77%,0,3,2,1,0
4,02-12-28,14,27,30,31,40,42,2,184,"35,060","20,803",59.34%,0,1,1,2,2
5,03-01-04,16,24,29,40,41,42,3,192,"22,581","12,384",54.84%,0,1,2,0,3
6,03-01-11,14,15,26,27,40,42,34,164,"74,963","61,098",81.50%,0,2,2,0,2
7,03-01-18,2,9,16,25,26,40,42,118,"86,315","24,783",28.71%,2,1,2,0,1
8,03-01-25,8,19,25,34,37,39,9,162,"78,907","40,104",50.82%,1,1,1,3,0
9,03-02-01,2,4,16,17,36,39,14,114,"78,907","18,157",23.01%,2,2,0,2,0
10,03-02-08,9,25,30,33,41,44,6,182,"38,638","12,719",32.92%,1,0,1,2,2
11,03-02-15,1,7,36,37,41,42,14,164,"74,963",355,0.47%,2,0,0,2,2
12,03-02-22,2,11,21,25,39,45,44,143,"104,387","15,811",15.15%,1,1,2,1,1
13,03-03-01,22,23,25,37,38,42,26,187,"30,036","27,737",92.35%,0,0,3,2,1
14,03-03-08,2,6,12,31,33,40,15,124,"95,721","19,525",20.40%,2,1,0,2,1
15,03-03-15,3,4,16,30,31,37,13,121,"91,344","30,505",33.40%,2,1,0,3,0
16,03-03-22,6,7,24,37,38,40,33,152,"95,721","39,507",41.27%,2,0,1,2,1
17,03-03-29,3,4,9,17,32,37,1,102,"54,316","24,787",45.63%,3,1,0,2,0
18,03-04-05,3,12,13,19,32,35,29,114,"78,907","38,853",49.24%,1,3,0,2,0
19,03-04-12,6,30,38,39,40,43,26,196,"17,534","1,527",8.71%,1,0,0,3,2
20,03-04-19,10,14,18,20,23,30,41,115,"80,848","78,694",97.34%,0,3,2,1,0
21,03-04-26,6,12,17,18,31,32,21,116,"82,701","65,592",79.31%,1,3,0,2,0
22,03-05-03,4,5,6,8,17,39,25,79,"16,411","12,750",77.69%,4,1,0,1,0
23,03-05-10,5,13,17,18,33,42,44,128,"100,480","60,622",60.33%,1,3,0,1,1
24,03-05-17,7,8,27,29,36,43,6,150,"98,273","50,612",51.50%,2,0,2,1,1
25,03-05-24,2,4,21,26,43,44,16,140,"105,474","12,571",11.92%,2,0,2,0,2
26,03-05-31,4,5,7,18,20,25,31,79,"16,411","12,995",79.18%,3,1,2,0,0
27,03-06-07,1,20,26,28,37,43,27,155,"91,344","5,545",6.07%,1,0,3,1,1
28,03-06-14,9,18,23,25,35,37,1,147,"101,478","75,888",74.78%,1,1,2,2,0
29,03-06-21,1,5,13,34,39,40,11,132,"103,784","2,882",2.78%,2,1,0,2,1
30,03-06-28,8,17,20,35,36,44,4,160,"82,701","43,076",52.09%,1,1,1,2,1
31,03-07-05,7,9,18,23,28,35,32,120,"89,714","72,061",80.32%,2,1,2,1,0
32,03-07-12,6,14,19,25,34,44,11,142,"104,836","58,566",55.86%,1,2,1,1,1
33,03-07-19,4,7,32,33,40,41,9,157,"88,068","19,596",22.25%,2,0,0,2,2
34,03-07-26,9,26,35,37,40,42,2,189,"26,912","6,493",24.13%,1,0,1,2,2
35,03-08-02,2,3,11,26,37,43,39,122,"92,858","15,800",17.02%,2,1,1,1,1
36,03-08-09,1,10,23,26,28,40,31,128,"100,480","9,621",9.58%,1,1,3,0,1
37,03-08-16,7,27,30,33,35,37,42,169,"64,728","24,727",38.20%,1,0,1,4,0
38,03-08-23,16,17,22,30,37,43,36,165,"72,974","65,120",89.24%,0,2,1,2,1
39,03-08-30,6,7,13,15,21,43,8,105,"60,559","49,527",81.78%,2,2,1,0,1
40,03-09-06,7,13,18,19,25,26,6,108,"66,787","60,804",91.04%,1,3,2,0,0
41,03-09-13,13,20,23,35,38,43,34,172,"58,453","40,368",69.06%,0,1,2,2,1
42,03-09-20,17,18,19,21,23,32,1,130,"102,324","102,262",99.94%,0,3,2,1,0
43,03-09-27,6,31,35,38,39,44,1,193,"21,255","2,355",11.08%,1,0,0,4,1
44,03-10-04,3,11,21,30,38,45,39,148,"100,480","21,719",21.62%,1,1,1,2,1
45,03-10-11,1,10,20,27,33,35,17,126,"98,273","10,081",10.26%,1,1,2,2,0
46,03-10-18,8,13,15,23,31,38,39,128,"100,480","83,450",83.05%,1,2,1,2,0
47,03-10-25,14,17,26,31,36,45,27,169,"64,728","49,848",77.01%,0,2,1,2,1
48,03-11-01,6,10,18,26,37,38,3,135,"105,237","63,136",59.99%,1,2,1,2,0
49,03-11-08,4,7,16,19,33,40,30,119,"88,068","45,770",51.97%,2,2,0,1,1
50,03-11-15,2,10,12,15,22,44,1,105,"60,559","23,691",39.12%,1,3,1,0,1
51,03-11-22,2,3,11,16,26,44,35,102,"54,316","14,248",26.23%,2,2,1,0,1
52,03-11-29,2,4,15,16,20,29,1,86,"25,407","10,700",42.11%,2,2,2,0,0
53,03-12-06,7,8,14,32,33,39,42,133,"104,387","70,532",67.57%,2,1,0,3,0
54,03-12-13,1,8,21,27,36,39,37,132,"103,784","6,273",6.04%,2,0,2,2,0
55,03-12-20,17,21,31,37,40,44,7,190,"25,407","16,086",63.31%,0,1,1,2,2
56,03-12-27,10,14,30,31,33,37,19,155,"91,344","64,079",70.15%,0,2,0,4,0
57,04-01-03,7,10,16,25,29,44,6,131,"103,129","73,879",71.64%,1,2,2,0,1
58,04-01-10,10,24,25,33,40,44,1,176,"50,236","23,433",46.65%,0,1,2,1,2
59,04-01-17,6,29,36,39,41,45,13,196,"17,534","1,473",8.40%,1,0,1,2,2
60,04-01-24,2,8,25,36,39,42,11,152,"95,721","9,267",9.68%,2,0,1,2,1
61,04-01-31,14,15,19,30,38,43,8,159,"84,560","72,642",85.91%,0,3,0,2,1
62,04-02-07,3,8,15,27,29,35,21,117,"84,560","36,053",42.64%,2,1,2,1,0
63,04-02-14,3,20,23,36,38,40,5,160,"82,701","14,874",17.99%,1,0,2,2,1
64,04-02-21,14,15,18,21,26,36,39,130,"102,324","101,164",98.87%,0,3,2,1,0
65,04-02-28,4,25,33,36,40,43,39,181,"40,505","4,602",11.36%,1,0,1,2,2
66,04-03-06,2,3,7,17,22,24,45,75,"12,368","5,313",42.96%,3,1,2,0,0
67,04-03-13,3,7,10,15,36,38,33,109,"68,878","32,433",47.09%,2,2,0,2,0
68,04-03-20,10,12,15,16,26,39,38,118,"86,315","82,463",95.54%,0,4,1,1,0
69,04-03-27,5,8,14,15,19,39,35,100,"50,236","40,228",80.08%,2,3,0,1,0
70,04-04-03,5,19,22,25,28,43,26,142,"104,836","52,018",49.62%,1,1,3,0,1
71,04-04-10,5,9,12,16,29,41,21,112,"74,963","53,292",71.09%,2,2,1,0,1
72,04-04-17,2,4,11,17,26,27,1,87,"26,912","10,912",40.55%,2,2,2,0,0
73,04-04-24,3,12,18,32,40,43,38,148,"100,480","22,200",22.09%,1,2,0,1,2
74,04-05-01,6,15,17,18,35,40,23,131,"103,129","69,649",67.54%,1,3,0,1,1
75,04-05-08,2,5,24,32,34,44,28,141,"105,237","12,959",12.31%,2,0,1,2,1
76,04-05-15,1,3,15,22,25,37,43,103,"56,399","3,512",6.23%,2,1,2,1,0
77,04-05-22,2,18,29,32,43,44,37,168,"66,787","4,697",7.03%,1,1,1,1,2
78,04-05-29,10,13,25,29,33,35,38,145,"103,129","82,360",79.86%,0,2,2,2,0
79,04-06-05,3,12,24,27,30,32,14,128,"100,480","38,255",38.07%,1,1,2,2,0
80,04-06-12,17,18,24,25,26,30,1,140,"105,474","105,168",99.71%,0,2,3,1,0
81,04-06-19,5,7,11,13,20,33,6,89,"30,036","25,817",85.95%,2,2,1,1,0
82,04-06-26,1,2,3,14,27,42,39,89,"30,036",84,0.28%,3,1,1,0,1
83,04-07-03,6,10,15,17,19,34,14,101,"52,286","46,216",88.39%,1,4,0,1,0
84,04-07-10,16,23,27,34,42,45,11,187,"30,036","19,187",63.88%,0,1,2,1,2
85,04-07-17,6,8,13,23,31,36,21,117,"84,560","62,647",74.09%,2,1,1,2,0
86,04-07-24,2,12,37,39,41,45,33,176,"50,236","1,889",3.76%,1,1,0,2,2
87,04-07-31,4,12,16,23,34,43,26,132,"103,784","47,128",45.41%,1,2,1,1,1
88,04-08-07,1,17,20,24,30,41,27,133,"104,387","12,681",12.15%,1,1,2,1,1
89,04-08-14,4,26,28,29,33,40,37,160,"82,701","22,044",26.66%,1,0,3,1,1
90,04-08-21,17,20,29,35,38,44,10,183,"36,847","27,583",74.86%,0,1,2,2,1
91,04-08-28,1,21,24,26,29,42,27,143,"104,387","10,412",9.97%,1,0,4,0,1
92,04-09-04,3,14,24,33,35,36,17,145,"103,129","26,634",25.83%,1,1,1,3,0
93,04-09-11,6,22,24,36,38,44,19,170,"62,621","18,398",29.38%,1,0,2,2,1
94,04-09-18,5,32,34,40,41,45,6,197,"16,411","1,031",6.28%,1,0,0,2,3
95,04-09-25,8,17,27,31,34,43,14,160,"82,701","43,350",52.42%,1,1,1,2,1
96,04-10-02,1,3,8,21,22,31,20,86,"25,407","2,618",10.30%,3,0,2,1,0
97,04-10-09,6,7,14,15,20,36,3,98,"46,247","40,065",86.63%,2,2,1,1,0
98,04-10-16,6,9,16,23,24,32,43,110,"70,911","57,734",81.42%,2,1,2,1,0
99,04-10-23,1,3,10,27,29,37,11,107,"64,728","2,736",4.23%,2,1,2,1,0
100,04-10-30,1,7,11,23,37,42,6,121,"91,344","7,086",7.76%,2,1,1,1,1
101,04-11-06,1,3,17,32,35,45,8,133,"104,387","1,122",1.07%,2,1,0,2,1
102,04-11-13,17,22,24,26,35,40,42,164,"74,963","71,288",95.10%,0,1,3,1,1
103,04-11-20,5,14,15,27,30,45,10,136,"105,474","55,816",52.92%,1,2,1,1,1
104,04-11-27,17,32,33,34,42,44,35,202,"11,466","4,964",43.29%,0,1,0,3,2
105,04-12-04,8,10,20,34,41,45,28,158,"86,315","43,875",50.83%,1,1,1,1,2
106,04-12-11,4,10,12,22,24,33,29,105,"60,559","41,335",68.26%,1,2,2,1,0
107,04-12-18,1,4,5,6,9,31,17,56,"2,172",741,34.12%,5,0,0,1,0
108,04-12-25,7,18,22,23,29,44,12,143,"104,387","67,869",65.02%,1,1,3,0,1
109,05-01-01,1,5,34,36,42,44,33,162,"78,907",247,0.31%,2,0,0,2,2
110,05-01-08,7,20,22,23,29,43,1,144,"103,784","66,928",64.49%,1,0,4,0,1
111,05-01-15,7,18,31,33,36,40,27,165,"72,974","29,182",39.99%,1,1,0,3,1
112,05-01-22,26,29,30,33,41,42,43,201,"12,368","11,805",95.45%,0,0,2,2,2
113,05-01-29,4,9,28,33,36,45,26,155,"91,344","22,134",24.23%,2,0,1,2,1
